nominal_time,pv,timestamp,value
2026-06-14T06:00:00,USEG:UNDS:2650:KAct,2026-06-14T06:00:02,5.264743668045221
2026-06-14T06:00:00,USEG:UNDS:2750:KAct,2026-06-14T06:00:01,5.264730848744656
2026-06-14T06:00:00,USEG:UNDS:2850:KAct,2026-06-14T06:00:01,5.288504168578123
2026-06-14T06:00:00,USEG:UNDS:2950:KAct,2026-06-14T06:00:01,5.312187853475151
2026-06-14T06:00:00,USEG:UNDS:3050:KAct,2026-06-14T06:00:02,5.335735068843014
2026-06-14T06:00:00,USEG:UNDS:3150:KAct,2026-06-14T06:00:02,5.359252684386425
2026-06-14T06:00:00,USEG:UNDS:3250:KAct,2026-06-14T06:00:02,5.382936491013826
2026-06-14T06:00:00,USEG:UNDS:3350:KAct,2026-06-14T06:00:02,5.40653625602659
2026-06-14T06:00:00,USEG:UNDS:3450:KAct,2026-06-14T06:00:02,5.430142396853404
2026-06-14T06:00:00,USEG:UNDS:3650:KAct,2026-06-14T05:59:51,1.5976755679661203
2026-06-14T06:00:00,USEG:UNDS:3750:KAct,2026-06-14T05:59:52,1.5299791111662744
2026-06-14T06:00:00,USEG:UNDS:3850:KAct,2026-06-14T06:00:02,3.691669013596168
2026-06-14T06:00:00,USEG:UNDS:3950:KAct,2026-06-14T06:00:02,3.6924886919045745
2026-06-14T06:00:00,USEG:UNDS:4050:KAct,2026-06-14T06:00:02,3.6968802679266974
2026-06-14T06:00:00,USEG:UNDS:4150:KAct,2026-06-14T06:00:02,3.701528127836993
2026-06-14T06:00:00,USEG:UNDS:4250:KAct,2026-06-14T06:00:02,3.7059843560929604
2026-06-14T06:00:00,USEG:UNDS:4350:KAct,2026-06-14T06:00:02,4.044306777042311
2026-06-14T06:00:00,USEG:UNDS:4450:KAct,2026-06-14T06:00:02,1.0828386532658831
2026-06-14T06:00:00,USEG:UNDS:4550:KAct,2026-06-14T05:59:52,1.2038987785668456
2026-06-14T06:00:00,USEG:UNDS:4650:KAct,2026-06-14T05:59:59,1.196493688970733
2026-06-14T06:00:00,USEG:UNDS:4750:KAct,2026-06-14T05:59:58,1.0486455540151953
2026-06-14T06:15:00,USEG:UNDS:2150:KAct,2026-06-14T06:15:00,5.426415482404351
2026-06-14T06:15:00,USEG:UNDS:2250:KAct,2026-06-14T06:13:59,3.5391556528162256
2026-06-14T06:15:00,USEG:UNDS:2350:KAct,2026-06-14T06:15:02,3.0526614088510273
2026-06-14T06:15:00,USEG:UNDS:2450:KAct,2026-06-14T06:14:59,5.240253478995663
2026-06-14T06:15:00,USEG:UNDS:2550:KAct,2026-06-14T06:15:00,5.23992777857027
2026-06-14T06:15:00,USEG:UNDS:2650:KAct,2026-06-14T06:14:58,5.239922325446599
2026-06-14T06:15:00,USEG:UNDS:2750:KAct,2026-06-14T06:15:00,5.239869721532585
2026-06-14T06:15:00,USEG:UNDS:2850:KAct,2026-06-14T06:14:57,5.263356945884347
2026-06-14T06:15:00,USEG:UNDS:2950:KAct,2026-06-14T06:15:02,5.286833297916487
2026-06-14T06:15:00,USEG:UNDS:3050:KAct,2026-06-14T06:15:02,5.310009027083398
2026-06-14T06:15:00,USEG:UNDS:3150:KAct,2026-06-14T06:14:59,5.333241448784409
2026-06-14T06:15:00,USEG:UNDS:3250:KAct,2026-06-14T06:15:02,5.356505141769644
2026-06-14T06:15:00,USEG:UNDS:3350:KAct,2026-06-14T06:14:57,5.3798289817811416
2026-06-14T06:15:00,USEG:UNDS:3450:KAct,2026-06-14T06:15:01,5.4031090949089045
2026-06-14T06:15:00,USEG:UNDS:3650:KAct,2026-06-14T06:14:49,1.597679931019786
2026-06-14T06:15:00,USEG:UNDS:3750:KAct,2026-06-14T06:15:02,1.5299791111662744
2026-06-14T06:15:00,USEG:UNDS:3850:KAct,2026-06-14T06:14:49,3.6718761661473023
2026-06-14T06:15:00,USEG:UNDS:3950:KAct,2026-06-14T06:15:00,3.6726622713911414
2026-06-14T06:15:00,USEG:UNDS:4050:KAct,2026-06-14T06:15:02,3.676908974610103
2026-06-14T06:15:00,USEG:UNDS:4150:KAct,2026-06-14T06:14:48,3.6815409136639983
2026-06-14T06:15:00,USEG:UNDS:4250:KAct,2026-06-14T06:14:57,3.685934511973143
2026-06-14T06:15:00,USEG:UNDS:4350:KAct,2026-06-14T06:14:54,4.026921227144092
2026-06-14T06:15:00,USEG:UNDS:4450:KAct,2026-06-14T06:15:00,1.0828413253540277
2026-06-14T06:15:00,USEG:UNDS:4550:KAct,2026-06-14T06:15:00,1.2038985084570446
2026-06-14T06:15:00,USEG:UNDS:4650:KAct,2026-06-14T06:14:56,1.1964958364372893
2026-06-14T06:15:00,USEG:UNDS:4750:KAct,2026-06-14T06:14:53,1.0486453187437352
2026-06-14T06:30:00,USEG:UNDS:2150:KAct,2026-06-14T06:30:02,5.426360892290183
2026-06-14T06:30:00,USEG:UNDS:2250:KAct,2026-06-14T06:29:43,3.539147591623357
2026-06-14T06:30:00,USEG:UNDS:2350:KAct,2026-06-14T06:29:54,3.0526432620256623
2026-06-14T06:30:00,USEG:UNDS:2450:KAct,2026-06-14T06:29:52,5.240214727936711
2026-06-14T06:30:00,USEG:UNDS:2550:KAct,2026-06-14T06:30:02,5.239874310986415
2026-06-14T06:30:00,USEG:UNDS:2650:KAct,2026-06-14T06:29:56,5.239911873662603
2026-06-14T06:30:00,USEG:UNDS:2750:KAct,2026-06-14T06:27:39,5.239845126462316
2026-06-14T06:30:00,USEG:UNDS:2850:KAct,2026-06-14T06:30:01,5.263349233844277
