nominal_time,pv,timestamp,value
2026-06-09T04:00:00,BEND:DMPS:400:BACT,2026-06-09T04:00:02,9.99999444898331
2026-06-09T08:00:00,BEND:DMPS:400:BACT,2026-06-09T08:00:02,9.999996928576483
2026-06-09T12:00:00,BEND:DMPS:400:BACT,2026-06-09T12:00:02,10.000002446608704
2026-06-09T16:00:00,BEND:DMPS:400:BACT,2026-06-09T16:00:02,9.999999471776896
2026-06-09T20:00:00,BEND:DMPS:400:BACT,2026-06-09T20:00:02,3.999995441333942
2026-06-10T00:00:00,BEND:DMPS:400:BACT,2026-06-10T00:00:01,3.999997438669841
2026-06-10T04:00:00,BEND:DMPS:400:BACT,2026-06-10T04:00:02,4.000000048550793
2026-06-10T08:00:00,BEND:DMPS:400:BACT,2026-06-10T08:00:02,4.000001854498162
2026-06-10T12:00:00,BEND:DMPS:400:BACT,2026-06-10T12:00:02,3.999997835430039
2026-06-10T16:00:00,BEND:DMPS:400:BACT,2026-06-10T16:00:02,3.9999977822683315
2026-06-10T20:00:00,BEND:DMPS:400:BACT,2026-06-10T20:00:02,4.000004782265255
2026-06-11T00:00:00,BEND:DMPS:400:BACT,2026-06-11T00:00:02,4.000004636718865
2026-06-11T04:00:00,BEND:DMPS:400:BACT,2026-06-11T04:00:02,3.9999964804820913
2026-06-11T08:00:00,BEND:DMPS:400:BACT,2026-06-11T08:00:01,3.9999961387693146
2026-06-11T12:00:00,BEND:DMPS:400:BACT,2026-06-11T12:00:02,4.000003574760206
2026-06-11T16:00:00,BEND:DMPS:400:BACT,2026-06-11T16:00:02,4.000003993292031
2026-06-11T20:00:00,BEND:DMPS:400:BACT,2026-06-11T20:00:02,3.999987984617214
2026-06-12T00:00:00,BEND:DMPS:400:BACT,2026-06-12T00:00:02,4.000007095342181
2026-06-12T04:00:00,BEND:DMPS:400:BACT,2026-06-12T04:00:02,3.9999995167862545
2026-06-12T08:00:00,BEND:DMPS:400:BACT,2026-06-12T08:00:02,3.9999988862024973
2026-06-12T12:00:00,BEND:DMPS:400:BACT,2026-06-12T12:00:02,4.000007937249128
2026-06-12T16:00:00,BEND:DMPS:400:BACT,2026-06-12T16:00:02,4.000006749038301
